LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
11150,86000US02804,2239,35710
11151,86000US02806,12800,45300
11152,86000US02807,746,44766
11153,86000US02808,1728,37096
11154,86000US02809,19695,27977
11155,86000US02812,1415,40116
11156,86000US02813,6619,31656
11157,86000US02814,6409,34596
11158,86000US02815,171,49676
11159,86000US02816,27138,31284
11160,86000US02817,4809,34314
11161,86000US02818,15063,41185
11162,86000US02822,5540,39569
11163,86000US02825,4693,31137
11164,86000US02826,473,23604
11165,86000US02827,1784,36452
11166,86000US02828,6382,30914
11167,86000US02830,5356,33154
11168,86000US02831,2630,33466
11169,86000US02832,4318,30637
11170,86000US02833,449,41208
11171,86000US02835,4729,45913
11172,86000US02836,76,46167
11173,86000US02837,2953,41127
11174,86000US02838,2837,29861
11175,86000US02839,1318,32670
11176,86000US02840,20235,30674
11177,86000US02841,1066,28832
11178,86000US02842,12806,34983
11179,86000US02852,18691,35716
11180,86000US02857,7507,33720
11181,86000US02858,462,44924
11182,86000US02859,5809,27143
11183,86000US02860,34896,19335
11184,86000US02861,22429,27552
11185,86000US02863,14430,17133
11186,86000US02864,27481,34716
11187,86000US02865,13913,40454
11188,86000US02871,14454,39071
11189,86000US02872,184,17111
11190,86000US02873,181,41488
11191,86000US02874,4565,43800
11192,86000US02875,416,43359
11193,86000US02876,237,32664
11194,86000US02878,13254,33699
11195,86000US02879,17338,36562
11196,86000US02881,7289,4992
11197,86000US02882,12605,31333
11198,86000US02885,8895,25676
11199,86000US02886,24816,32811
11200,86000US02888,16445,30917
11201,86000US02889,24042,32234
11202,86000US02891,17536,31960
11203,86000US02892,3688,37794
11204,86000US02893,24344,28724
11205,86000US02894,407,33125
11206,86000US02895,32655,21108
11207,86000US02896,9948,32647
11208,86000US02898,1073,29375
11209,86000US02903,10139,14462
11210,86000US02904,23663,25560
11211,86000US02905,20066,18553
11212,86000US02906,25784,30349
11213,86000US02907,21102,16749
11214,86000US02908,30279,17615
11215,86000US02909,33420,18369
11216,86000US02910,16774,29020
11217,86000US02911,13579,29021
11218,86000US02912,1850,3088
11219,86000US02914,17907,24000
11220,86000US02915,13884,31805
11221,86000US02916,7285,32875
11222,86000US02917,12232,22879
11223,86000US02919,24468,27489
11224,86000US02920,32886,26841
11225,86000US02921,10015,41195
11226,86000US03031,8770,43231
11227,86000US03032,3951,40742
11228,86000US03033,4032,42176
11229,86000US03034,3371,36864
11230,86000US03036,3850,35948
11231,86000US03037,3445,37182
11232,86000US03038,27551,32889
11233,86000US03042,5172,34517
11234,86000US03043,1333,31996
11235,86000US03044,3456,34790
11236,86000US03045,11448,34148
11237,86000US03046,2236,44349
11238,86000US03047,1231,30771
11239,86000US03048,2853,30491
11240,86000US03049,6212,44435
11241,86000US03051,19809,38281
11242,86000US03052,6571,42449
11243,86000US03053,19068,39461
11244,86000US03054,21139,41201
11245,86000US03055,12297,33562
11246,86000US03057,2045,35572
11247,86000US03060,23208,23867
11248,86000US03062,22313,37420
11249,86000US03063,13101,37264
11250,86000US03064,11878,30462
11251,86000US03070,4171,46274
11252,86000US03071,3791,36477
11253,86000US03076,10153,40695
11254,86000US03077,8395,31241
11255,86000US03079,24204,33548
11256,86000US03082,1259,32440
11257,86000US03084,1340,28125
11258,86000US03086,2994,31919
11259,86000US03087,10634,50702
11260,86000US03101,2551,23281
11261,86000US03102,26614,25891
11262,86000US03103,29764,25995
11263,86000US03104,27898,30632
11264,86000US03106,11399,34447
11265,86000US03109,8024,39307
11266,86000US03110,16651,46297
11267,86000US03215,204,34444
11268,86000US03216,1778,32320
11269,86000US03217,1573,22431
11270,86000US03218,734,41433
11271,86000US03220,5965,29550
11272,86000US03221,1705,32649
11273,86000US03222,4628,29227
11274,86000US03223,2842,30298
11275,86000US03224,1853,39552
11276,86000US03225,3090,32980
11277,86000US03226,903,35556
11278,86000US03227,848,31271
11279,86000US03229,4634,39161
11280,86000US03230,1118,27727
11281,86000US03231,313,26848
11282,86000US03233,96,11500
11283,86000US03234,3829,33555
11284,86000US03235,6982,25935
11285,86000US03237,1823,35174
11286,86000US03238,59,35000
11287,86000US03240,1135,28243
11288,86000US03241,760,27583
11289,86000US03242,3749,26415
11290,86000US03243,982,28194
11291,86000US03244,6301,30797
11292,86000US03245,1449,27336
11293,86000US03246,13162,26824
11294,86000US03249,6195,30884
11295,86000US03251,1026,21935
11296,86000US03253,5259,30577
11297,86000US03254,3601,37819
11298,86000US03255,1681,34325
11299,86000US03256,1956,30799
11300,86000US03257,4185,25437
11301,86000US03258,2171,35037
11302,86000US03259,262,31458
11303,86000US03260,673,36210
11304,86000US03261,3571,32104
11305,86000US03262,968,25634
11306,86000US03263,3269,27129
11307,86000US03264,6574,13956
11308,86000US03266,1912,26925
11309,86000US03268,1065,35461
11310,86000US03269,2490,32464
11311,86000US03273,218,45729
11312,86000US03275,9300,33917
11313,86000US03276,6761,31080
11314,86000US03278,2554,31158
11315,86000US03279,583,22713
11316,86000US03280,942,28487
11317,86000US03281,6718,41438
11318,86000US03282,788,24714
11319,86000US03284,893,34167
11320,86000US03285,2131,29516
11321,86000US03287,1055,37558
11322,86000US03290,3781,41713
11323,86000US03291,34,43750
11324,86000US03293,87,22344
11325,86000US03301,27575,29930
11326,86000US03303,12952,29786
11327,86000US03304,6079,41343
11328,86000US03307,4349,30948
11329,86000US03431,22539,22098
11330,86000US03440,2223,27353
11331,86000US03441,426,36343
11332,86000US03442,1146,37875
11333,86000US03443,817,25962
11334,86000US03444,1446,27261
11335,86000US03445,562,25588
11336,86000US03446,5089,23252
11337,86000US03447,2112,30026
11338,86000US03448,605,28092
11339,86000US03449,1481,37660
11340,86000US03450,738,32120
11341,86000US03451,3421,22437
11342,86000US03452,4486,29104
11343,86000US03455,1572,32536
11344,86000US03456,624,33194
11345,86000US03457,630,29750
